item_id,item_name
1,Crispy Salad
2,Spicy Salad
3,Deluxe Milkshake
4,Classic Burger
5,Classic Soda
6,Deluxe Soup
7,Cheesy Wrap
8,Spicy Juice
9,Grilled Pasta
10,Cheesy Nuggets
11,Deluxe Pizza
12,Cheesy Milkshake
13,Deluxe Pasta
14,Cheesy Wrap
15,Spicy Soup
16,Crispy Burger
17,Grilled Pasta
18,Grilled Pasta
19,Spicy Milkshake
20,Crispy Pizza
21,Cheesy Sandwich
22,Grilled Burger
23,Grilled Pizza
24,Cheesy Soda
25,Classic Ice Cream
26,Spicy Smoothie
27,Classic Pasta
28,Grilled Pizza
29,Spicy Fries
30,Crispy Sandwich
31,Spicy Milkshake
32,Crispy Wrap
33,Cheesy Pizza
34,Classic Burger
35,Deluxe Nuggets
36,Grilled Taco
37,Deluxe Nuggets
38,Crispy Taco
39,Crispy Soup
40,Cheesy Taco
41,Crispy Fries
42,Deluxe Pizza
43,Classic Sandwich
44,Spicy Wrap
45,Grilled Pizza
46,Spicy Wrap
47,Spicy Smoothie
48,Spicy Soup
49,Deluxe Milkshake
50,Cheesy Soup
51,Cheesy Salad
52,Deluxe Pasta
53,Grilled Ice Cream
54,Grilled Ice Cream
55,Cheesy Fries
56,Classic Taco
57,Crispy Juice
58,Deluxe Ice Cream
59,Grilled Pizza
60,Deluxe Milkshake
61,Cheesy Taco
62,Deluxe Milkshake
63,Crispy Soda
64,Spicy Salad
65,Cheesy Salad
66,Cheesy Salad
67,Grilled Smoothie
68,Spicy Milkshake
69,Spicy Smoothie
70,Spicy Ice Cream
71,Deluxe Taco
72,Crispy Nuggets
73,Deluxe Taco
74,Grilled Soup
75,Cheesy Soup
76,Cheesy Ice Cream
77,Deluxe Sandwich
78,Spicy Taco
79,Crispy Soda
80,Cheesy Pizza
81,Classic Milkshake
82,Classic Sandwich
83,Crispy Wrap
84,Crispy Pizza
85,Cheesy Wrap
86,Grilled Soup
87,Crispy Ice Cream
88,Deluxe Pasta
89,Spicy Burger
90,Crispy Ice Cream
91,Grilled Milkshake
92,Grilled Soda
93,Crispy Pizza
94,Crispy Sandwich
95,Classic Pasta
96,Spicy Pizza
97,Classic Milkshake
98,Classic Juice
99,Deluxe Nuggets
100,Crispy Soda
